id,date,rxl,cid,lac,rnc
27686,1259994521366,-93,16537,27,0
27687,1259994521713,-93,16537,27,0
27688,1259994522026,-93,16537,27,0
27689,1259994522366,-93,16537,27,0
27690,1259994522735,-93,16537,27,0
27691,1259994523036,-93,16537,27,0
27692,1259994523366,-93,16537,27,0
27693,1259994523710,-93,16537,27,0
27694,1259994524037,-93,16537,27,0
27695,1259994524377,-93,16537,27,0
27696,1259994524709,-93,16537,27,0
27697,1259994525046,-93,16537,27,0
27698,1259994525376,-93,16537,27,0
27699,1259994525725,-93,16537,27,0
27700,1259994526046,-93,16537,27,0
27701,1259994526376,-93,16537,27,0
27702,1259994526727,-93,16537,27,0
27703,1259994527046,-93,16537,27,0
27704,1259994527387,-93,16537,27,0
27705,1259994527728,-93,16537,27,0
27706,1259994528067,-93,16537,27,0
27707,1259994528396,-93,16537,27,0
27708,1259994528731,-93,16537,27,0
27709,1259994529066,-93,16537,27,0
27710,1259994529396,-93,16537,27,0
27711,1259994529724,-93,16537,27,0
27712,1259994530066,-93,16537,27,0
27713,1259994530406,-93,16537,27,0
27714,1259994530734,-93,16537,27,0
27715,1259994531066,-93,16537,27,0
27716,1259994531406,-93,16537,27,0
27717,1259994531744,-93,16537,27,0
27718,1259994532086,-93,16537,27,0
27719,1259994532416,-93,16537,27,0
27720,1259994532744,-93,16537,27,0
27721,1259994533086,-93,16537,27,0
27722,1259994533426,-93,16537,27,0
27723,1259994533754,-93,16537,27,0
27724,1259994534097,-93,16537,27,0
27725,1259994534426,-93,16537,27,0
27726,1259994534754,-93,16537,27,0
27727,1259994535097,-93,16537,27,0
27728,1259994535426,-93,16537,27,0
27729,1259994535754,-93,16537,27,0
27730,1259994536097,-93,16537,27,0
27731,1259994536436,-93,16537,27,0
27732,1259994536764,-93,16537,27,0
27733,1259994537097,-93,16537,27,0
27734,1259994537436,-93,16537,27,0
27735,1259994537764,-93,16537,27,0
27736,1259994538106,-93,16537,27,0
27737,1259994538437,-93,16537,27,0
27738,1259994538764,-93,16537,27,0
27739,1259994539107,-93,16537,27,0
27740,1259994539446,-93,16537,27,0
27741,1259994539776,-93,16537,27,0
27742,1259994540105,-93,16537,27,0
27743,1259994540446,-93,16537,27,0
